133D8: 埃及象形文字X007
133D9: 埃及象形文字X008
133DA: 埃及象形文字X008a
133DB: 埃及象形文字Y001
133DC: 埃及象形文字Y001a
133DD: 埃及象形文字Y002
133DE: 埃及象形文字Y003
133DF: 埃及象形文字Y004
133E0: 埃及象形文字Y005
133E1: 埃及象形文字Y006
133E2: 埃及象形文字Y007
133E3: 埃及象形文字Y008
133E4: 埃及象形文字Z001
133E5: 埃及象形文字Z002
133E6: 埃及象形文字Z002a
133E7: 埃及象形文字Z002b
133E8: 埃及象形文字Z002c
133E9: 埃及象形文字Z002d
133EA: 埃及象形文字Z003
133EB: 埃及象形文字Z003a
133EC: 埃及象形文字Z003b
133ED: 埃及象形文字Z004
133EE: 埃及象形文字Z004a
133EF: 埃及象形文字Z005
133F0: 埃及象形文字Z005a
133F1: 埃及象形文字Z006
133F2: 埃及象形文字Z007
133F3: 埃及象形文字Z008
133F4: 埃及象形文字Z009
133F5: 埃及象形文字Z010
133F6: 埃及象形文字Z011
133F7: 埃及象形文字Z012
133F8: 埃及象形文字Z013
133F9: 埃及象形文字Z014
133FA: 埃及象形文字Z015
133FB: 埃及象形文字Z015a
133FC: 埃及象形文字Z015b
133FD: 埃及象形文字Z015c
133FE: 埃及象形文字Z015d
133FF: 埃及象形文字Z015e
