131D9: 埃及象形文字M028
131DA: 埃及象形文字M028a
131DB: 埃及象形文字M029
131DC: 埃及象形文字M030
131DD: 埃及象形文字M031
131DE: 埃及象形文字M031a
131DF: 埃及象形文字M032
131E0: 埃及象形文字M033
131E1: 埃及象形文字M033a
131E2: 埃及象形文字M033b
131E3: 埃及象形文字M034
131E4: 埃及象形文字M035
131E5: 埃及象形文字M036
131E6: 埃及象形文字M037
131E7: 埃及象形文字M038
131E8: 埃及象形文字M039
131E9: 埃及象形文字M040
131EA: 埃及象形文字M040a
131EB: 埃及象形文字M041
131EC: 埃及象形文字M042
131ED: 埃及象形文字M043
131EE: 埃及象形文字M044
131EF: 埃及象形文字N001
131F0: 埃及象形文字N002
131F1: 埃及象形文字N003
131F2: 埃及象形文字N004
131F3: 埃及象形文字N005
131F4: 埃及象形文字N006
131F5: 埃及象形文字N007
131F6: 埃及象形文字N008
131F7: 埃及象形文字N009
131F8: 埃及象形文字N010
131F9: 埃及象形文字N011
131FA: 埃及象形文字N012
131FB: 埃及象形文字N013
131FC: 埃及象形文字N014
131FD: 埃及象形文字N015
131FE: 埃及象形文字N016
131FF: 埃及象形文字N017
